,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Constantine,DZ,86.0,few clouds,36.37,6.61,Grand Hotel Cirta
597,Mangan,IN,75.16,broken clouds,27.52,88.53,"Dzongu Lee, Home Stay"
600,Price,US,82.4,clear sky,39.6,-110.81,National 9 - Price River Inn
607,Stari Banovci,RS,80.6,broken clouds,44.99,20.29,Hotel Novella Uno
608,Kumluca,TR,84.38,clear sky,36.37,30.29,TurkuazKöy
610,Itaquitinga,BR,82.4,few clouds,-7.67,-35.1,Eluzair
612,Tual,ID,78.28,broken clouds,-5.67,132.75,Grand Vilia Hotel
615,Sur,OM,80.31,overcast clouds,22.57,59.53,Sur Plaza Hotel
619,Villa Guerrero,MX,75.2,scattered clouds,18.87,-99.65,"Ixtapan de la Sal Marriott Hotel, Spa & Convention Center"
625,Khaga,IN,81.03,light rain,25.78,81.12,Atal Jan Kalyan sewa samiti
628,Kangaba,ML,82.58,overcast clouds,11.93,-8.42,Hôtel Mandé
629,Marquette,US,75.99,few clouds,46.53,-87.63,Al Quaal Lodge
631,San Antero,CO,84.04,broken clouds,9.37,-75.76,Villamarina Inn chale
632,Teacapan,MX,89.47,few clouds,22.55,-105.75,Villas y Hotel Maria Fernanda
633,Luyang,CN,76.24,clear sky,27.62,110.1,
635,Kolaras,IN,75.47,overcast clouds,25.23,77.6,Shiv Shakti Garden (Gayatri Colony)
641,Yakima,US,75.99,clear sky,46.47,-120.67,
643,Ibra,OM,83.66,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
647,Bonthe,SL,79.3,light rain,7.53,-12.51,Bonthe Holiday Village
648,Las Palmas,ES,89.6,clear sky,28.42,-14.01,Casa el Relajo
649,Lagos,NG,84.2,few clouds,6.58,3.75,
651,Ternate,ID,79.77,light rain,0.8,127.4,Grand Dafam Bela Ternate
656,Modasa,IN,76.57,overcast clouds,23.47,73.3,HOTEL SUN SHINE
661,Manggar,ID,80.58,broken clouds,-2.88,108.27,Guest Hotel
664,Cassilandia,BR,84.15,few clouds,-19.11,-51.73,Hotel Rafa Cassilândia
665,Dwarka,IN,82.78,moderate rain,22.24,68.97,Hotel Narayan Avezika Comfort
668,Russell,US,86.0,broken clouds,32.35,-85.2,Macs
670,Kutum,SD,80.69,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
672,Los Llanos De Aridane,ES,80.01,few clouds,28.66,-17.92,Valle Aridane
673,Mahibadhoo,MV,82.74,moderate rain,3.78,72.97,Omadhoo Inn
675,Eydhafushi,MV,84.45,overcast clouds,5.1,73.07,Soneva Fushi
676,Grants,US,84.2,clear sky,35.15,-107.85,"Motel 6 Grants, NM"
681,Shu,KZ,82.0,broken clouds,43.6,73.76,Shyngyzkhan
683,Baguanos,CU,86.0,shower rain,20.75,-76.03,Magalis y William
686,Ixtapa,MX,88.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
687,Teknaf,BD,79.02,moderate rain,20.86,92.31,Magnum Engineering & Construction
689,Pandan,PH,80.49,light rain,14.05,124.17,Bonifacio Lodge
691,Lorengau,PG,76.86,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
693,Golden,US,84.0,smoke,39.76,-105.22,"The Golden Hotel, Ascend Hotel Collection"
694,Beachwood,US,86.0,scattered clouds,41.46,-81.51,DoubleTree by Hilton Hotel Cleveland East Beachwood
696,Iralaya,HN,87.8,scattered clouds,15.0,-83.23,Iglesia morava renovada
697,Quzhou,CN,78.44,clear sky,28.96,118.87,Quzhou Jiujiu Business Hotel
700,Saint-Georges,GD,86.0,scattered clouds,12.06,-61.75,Siesta Hotel
704,Tondano,ID,75.2,few clouds,1.3,124.91,Villa Bella
705,San Lawrenz,MT,84.2,few clouds,36.06,14.2,San Andrea Hotel
708,Jiaocheng,CN,77.56,moderate rain,24.68,116.14,Changtan Tourism Resort
709,Xiongzhou,CN,77.95,clear sky,25.12,114.3,Xinhewan Business Hotel
