City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Ivankiv,UA,2020-08-22 02:18:53,50.94,29.89,60.8,100,7,6.71
202,Lewiston,US,2020-08-22 02:18:20,44.1,-70.21,68.0,82,1,2.06
203,Lamont,US,2020-08-22 02:18:53,35.26,-118.91,95.0,20,1,4.7
204,Khasan,RU,2020-08-22 02:18:53,42.43,130.64,69.55,58,0,5.28
205,Levelland,US,2020-08-22 02:18:54,33.59,-102.38,87.01,37,20,5.82
206,Belmonte,BR,2020-08-22 02:18:54,-15.86,-38.88,71.6,83,75,4.7
207,Shepsi,RU,2020-08-22 02:18:54,44.04,39.15,68.43,76,10,7.9
208,Sri Aman,MY,2020-08-22 02:18:54,1.24,111.46,84.2,83,20,1.3
209,Mahebourg,MU,2020-08-22 02:18:54,-20.41,57.7,68.0,82,40,6.93
210,Hasaki,JP,2020-08-22 02:18:55,35.73,140.83,91.99,74,40,4.7
211,Shizunai,JP,2020-08-22 02:15:31,42.33,142.37,69.4,55,100,3.56
212,Lengshuitan,CN,2020-08-22 02:18:55,26.41,111.6,83.68,77,82,3.76
213,Maymyo,MM,2020-08-22 02:17:04,22.03,96.47,84.2,79,40,9.17
214,Warmbad,NA,2020-08-22 02:18:55,-28.45,18.73,53.62,33,0,9.8
215,Elko,US,2020-08-22 02:18:56,41.0,-115.5,93.2,8,75,12.75
216,Oktyabrskiy,RU,2020-08-22 02:18:56,54.48,53.47,48.51,95,30,3.44
217,Gazojak,TM,2020-08-22 02:18:56,41.19,61.4,72.73,21,0,9.19
218,Coacoatzintla,MX,2020-08-22 02:18:56,19.63,-96.93,65.93,96,99,0.27
219,Maceio,BR,2020-08-22 02:15:57,-9.67,-35.74,73.4,88,83,3.36
220,Saravan,AM,2020-08-22 02:18:57,39.72,45.65,77.0,59,20,6.93
221,Dalby,AU,2020-08-22 02:18:57,-27.18,151.27,66.0,28,24,5.99
222,Dehloran,IR,2020-08-22 02:18:57,32.69,47.27,86.5,14,0,7.36
223,Marsh Harbour,BS,2020-08-22 02:18:58,26.54,-77.06,82.87,78,1,10.07
224,Dicabisagan,PH,2020-08-22 02:18:58,17.08,122.42,88.14,63,100,8.99
225,Borogontsy,RU,2020-08-22 02:18:58,62.67,131.17,61.2,37,0,3.13
226,Beringovskiy,RU,2020-08-22 02:18:58,63.05,179.32,51.71,92,100,13.27
227,Port Blair,IN,2020-08-22 02:18:59,11.67,92.75,83.57,77,100,9.4
228,Gamba,GA,2020-08-22 02:18:59,-2.65,10.0,72.37,85,95,3.67
229,Rocha,UY,2020-08-22 02:18:59,-34.48,-54.33,41.79,64,0,5.93
230,Bengkulu,ID,2020-08-22 02:18:59,-3.8,102.27,83.07,67,4,2.26
231,Khani,GE,2020-08-22 02:18:59,41.96,42.96,68.0,94,75,3.36
232,Jutai,BR,2020-08-22 02:19:00,-5.18,-68.9,67.59,66,0,6.13
233,Daule,EC,2020-08-22 02:19:00,-1.86,-79.98,75.2,83,75,5.82
234,Henties Bay,NA,2020-08-22 02:19:00,-22.12,14.28,63.64,28,78,4.83
235,Nuuk,GL,2020-08-22 02:19:00,64.18,-51.72,42.01,93,44,8.99
236,Ribeira Grande,PT,2020-08-22 02:19:00,38.52,-28.7,69.21,65,0,1.68
237,Saint-Louis,SN,2020-08-22 02:19:01,16.33,-15.0,83.23,69,0,11.99
238,Sitka,US,2020-08-22 02:19:01,57.05,-135.33,57.2,87,90,2.84
